Student_id,english_marks,maths_marks,science_marks,computer_marks,course
S00001,88,76,92,73,AI
S00002,73,93,64,62,python
S00003,60,71,69,73,AI
S00004,62,86,80,100,AI
S00005,99,79,78,77,AI
S00006,85,65,87,63,python
S00007,83,97,79,84,AI
S00008,91,82,63,96,AI
S00009,77,99,97,74,AI
S00010,88,73,69,99,AI
S00011,64,61,75,66,python
S00012,94,82,66,90,AI
S00013,62,91,80,76,AI
S00014,87,88,94,79,AI
S00015,68,72,63,90,AI
S00016,86,93,75,85,AI
S00017,71,83,87,98,AI
S00018,93,70,68,91,Web Development
S00019,65,62,80,89,python
S00020,61,60,79,66,python
S00021,82,94,86,63,AI
S00022,70,91,89,69,AI
S00023,60,80,73,86,AI
S00024,79,63,92,89,AI
S00025,95,66,69,71,Web Development
S00026,70,79,68,77,AI
S00027,78,86,95,94,AI
S00028,71,76,81,85,AI
S00029,83,83,64,73,AI
S00030,96,69,90,92,Web Development
S00031,87,100,97,81,AI
S00032,85,63,63,64,python
S00033,79,85,97,95,AI
S00034,80,69,96,98,Web Development
S00035,99,61,89,73,Web Development
S00036,81,96,62,75,AI
S00037,93,73,79,99,AI
S00038,61,66,89,79,python
S00039,86,61,82,93,Web Development
S00040,87,96,95,67,Mathematics for machine learning
S00041,60,85,69,96,Web Development
S00042,75,80,98,87,AI
S00043,89,72,80,89,AI
S00044,71,84,64,84,AI
S00045,87,86,92,95,AI
S00046,76,74,86,69,Mathematics for machine learning
S00047,95,64,76,84,Web Development
S00048,61,70,64,84,python
S00049,100,91,68,80,Web Development
S00050,68,77,71,88,AI
S00051,82,85,97,95,AI
S00052,97,86,89,100,python
S00053,70,96,68,92,AI
S00054,81,79,73,68,Mathematics for machine learning
S00055,85,81,67,65,python
S00056,64,74,87,77,AI
S00057,92,65,63,81,Web Development
S00058,94,73,62,66,python
S00059,96,95,74,90,AI
S00060,77,92,92,85,AI
S00061,91,91,79,69,Mathematics for machine learning
S00062,89,87,100,92,AI
S00063,90,82,79,97,AI
S00064,89,83,93,97,AI
S00065,72,89,78,82,AI
S00066,92,61,90,62,python
S00067,81,78,67,69,python
S00068,77,75,77,64,Mathematics for machine learning
S00069,65,75,73,64,Mathematics for machine learning
S00070,98,64,95,60,python
S00071,70,78,72,97,AI
S00072,99,87,94,98,AI
S00073,81,81,72,76,AI
S00074,100,68,82,63,python
S00075,77,98,81,73,Mathematics for machine learning
S00076,61,65,73,65,python
S00077,83,94,65,90,AI
S00078,90,94,87,62,Mathematics for machine learning
S00079,85,88,80,97,AI
S00080,91,80,75,81,AI
S00081,99,97,62,78,AI
S00082,75,73,74,83,AI
S00083,96,66,80,74,Web Development
S00084,94,86,97,85,Web Development
S00085,66,83,91,71,AI
S00086,97,85,76,62,Mathematics for machine learning
S00087,70,85,76,69,Mathematics for machine learning
S00088,64,74,99,99,AI
S00089,65,79,99,68,Mathematics for machine learning
S00090,70,62,97,61,python
S00091,94,91,76,87,python
S00092,72,63,88,81,Web Development
